"","SampleName","Frequency"
"1","C1 15min antiIgE",0.328135575571406
"2","C1 15min media",0.360172384015001
"3","C1 15min PN",0.348541548754424
"4","C1 30min antiIgE",0.342239368383277
"5","C1 30min media",0.353526424860289
"6","C1 30min PN",0.3568213128432
"7","C2 15min antiIgE",0.550807920363918
"8","C2 15min media",0.552252501680971
"9","C2 15min PN",0.604674852706349
"10","C2 30min antiIgE",0.530496770249955
"11","C2 30min media",0.525062340438164
"12","C2 30min PN",0.509239788440706
"13","C3 15min antiIgE",0.27533742807518
"14","C3 15min media",0.271408336196998
"15","C3 15min PN",0.272221193124762
"16","C3 30min antiIgE",0.251252464389045
"17","C3 30min media",0.256304630914182
"18","C3 30min PN",0.263895441715709
"19","P1 15min antiIgE",0.259463260283605
"20","P1 15min media",0.239593622125018
"21","P1 15min PN",0.228393760539629
"22","P1 30min antiIgE",0.263723306694615
"23","P1 30min media",0.240197852575703
"24","P1 30min PN",0.239239141092264
"25","P2 15min antiIgE",0.210230115057529
"26","P2 15min media",0.217751970136873
"27","P2 15min PN",0.205203634699614
"28","P2 30min antiIgE",0.229036859094663
"29","P2 30min media",0.154194766657675
"30","P2 30min PN",0.203109226731274
"31","P3 15min antiIgE",0.292126047928404
"32","P3 15min media",0.311066364299864
"33","P3 15min PN",0.325622578859989
"34","P3 30min antiIgE",0.305756744634073
"35","P3 30min media",0.296564491348261
"36","P3 30min PN",0.304541928538636
"37","P4 15min antiIgE",0.358675159963437
"38","P4 15min media",0.364674237495053
"39","P4 15min PN",0.317788091765018
"40","P4 30min antiIgE",0.341506117849093
"41","P4 30min media",0.359204837828768
"42","P4 30min PN",0.342627473496996
"43","P5 15min antiIgE",0.334579330271247
"44","P5 15min media",0.43192330551177
"45","P5 15min PN",0.334292965642638
"46","P5 30min antiIgE",0.360107821010742
"47","P5 30min media",0.377469368333399
"48","P5 30min PN",0.378212676113525
"49","P6 15min antiIgE",0.271602801278029
"50","P6 15min media",0.319931459661891
"51","P6 15min PN",0.24849732224248
"52","P6 30min antiIgE",0.269492758415449
"53","P6 30min media",0.321565194555084
"54","P6 30min PN",0.302466718872357
